case;group;in_geraete_anzahl;in_geraete_kompetenz;in_minuten;in_adoption;ki_einstellung_arbeit;ki_einstellung_sozial;ki_einstellung_individuell;ki_einstellung_bildung;ki_einstellung_entscheidungen;ki_profit;ki_gehoert;ki_quelle_massenmedien;ki_quelle_internet;ki_quelle_arbeit;ki_quelle_privat;ki_beispiele;ki_anwendungen_bild;ki_anwendungen_video;ki_anwendungen_text;ki_anwendungen_musik;ki_anwendungen_uebersetzung;ki_anwendungen_transkription;ki_anwendungen_beschreibung;ki_anwendungen_vorlesen;ki_anwendungen_empfehlung;ki_anwendungen_konversation;ki_anwendungen_navigation;cg_kennen;cg_erinnern;cg_erinnern_wochen;cg_erinnern_quelle;cg_nutzen;cg_nutzen_wochen;cg_nutzen_allein;cg_nutzen_gezeigt;cg_nutzen_eindruck;cg_nutzen_privat;cg_nutzen_beruflich;cg_nutzen_aktivitaeten;cg_gesprochen_privat;cg_gesprochen_beruflich;cg_adoption_advantage_01;cg_adoption_advantage_02;cg_adoption_advantage_03;cg_adoption_advantage_04;cg_adoption_fearofuse_01;cg_adoption_fearofuse_02;cg_adoption_fearofuse_03;cg_adoption_fearofuse_04;cg_adoption_social_01;cg_adoption_social_02;cg_adoption_social_03;cg_adoption_social_04;cg_adoption_easeofuse_01;cg_adoption_easeofuse_02;cg_adoption_easeofuse_03;cg_adoption_easeofuse_04;cg_adoption_evaluation_01;cg_adoption_evaluation_02;cg_adoption_evaluation_03;cg_adoption_evaluation_04;sd_geschlecht;sd_geburtsjahr;sd_alter;sd_abschluss;sd_ausbildung;sd_ausbildung_keine;sd_ausbildung_lehre;sd_ausbildung_meisterin;sd_ausbildung_studium;sd_ausbildung_promotion;sd_bereich;sd_haushalt;q_anmerkungen;q_started;q_time;q_completed
236;4 Nutzung ChatGPT;4;4;300;Ich probiere neue Angebote eher schnell aus.;4;2;4;4;3;eher profitieren;ja;2;2;5;3;Chat<br>Suchmaschinen;2;2;3;2;3;2;2;2;2;2;3;ja;ja;6;aus Massenmedien (online oder offline);ja, aber erst später;3;allein;selbst ausprobiert;unbestimmt;3;1;Webseiten für SEO optimiert.;2;1;3;2;3;3;3;3;2;3;2;2;2;2;4;3;4;4;4;4;4;4;männlich;1958;65;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;2;Nein.;2023-04-21T15:47:43Z;517;TRUE
251;4 Nutzung ChatGPT;7;4;120;Ich probiere neue Angebote eher schnell aus.;4;3;4;5;2;sicher profitieren;ja;3;3;3;4;ChatGPT, Google, mein Smartphone;2;2;3;2;4;4;3;2;2;4;4;ja;ja;12;aus Internetforen und Plattformen;ja, direkt nachdem ich davon gehört hatte;12;allein;selbst ausprobiert;unbestimmt;2;2;Texte und Konzepte erstellen lassen,;3;3;-1;-1;3;4;3;4;-1;2;3;3;2;2;4;3;1;4;3;-1;4;3;weiblich;1964;59;(Fach-) Abitur;1;1;2;1;1;1;Verkehr, Logistik, Sicherheit;2;NA;2023-04-21T17:02:40Z;597;TRUE
255;4 Nutzung ChatGPT;3;3;35;Ich probiere neue Angebote eher schnell aus.;4;1;3;4;2;eher nicht profitieren;ja;3;4;4;1;Chatgpt;3;2;3;2;4;2;3;3;2;1;2;ja;ja;8;von Personen im privaten Umfeld;ja, aber erst später;6;allein;selbst ausprobiert;eher enttäuschend;3;1;Wiseensfragen stellen;3;1;3;1;4;3;2;1;3;3;4;4;5;4;4;2;3;3;5;2;2;3;männlich;1998;25;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;4;NA;2023-04-21T17:29:18Z;457;TRUE
283;4 Nutzung ChatGPT;5;5;380;Ich probiere neue Angebote sofort aus.;4;2;2;3;3;eher nicht profitieren;ja;4;4;4;4;Chatgpt;2;2;3;2;3;2;2;2;2;2;2;ja;ja;8;von Personen im Arbeitskontext;ja, direkt nachdem ich davon gehört hatte;8;mit anderen im Arbeitskontext;von anderen gezeigt;eher überzeugend;2;2;Fragen stellen;2;1;4;-1;4;5;3;-1;4;2;4;5;2;2;4;3;4;4;4;5;4;5;männlich;1981;42;keinen;1;2;1;1;1;1;In einem anderen Bereich.;5;Nein;2023-04-21T23:49:44Z;722;TRUE
290;4 Nutzung ChatGPT;3;2;180;Ich probiere neue Angebote eher schnell aus.;4;2;3;2;4;eher nicht profitieren;ja;2;1;4;2;Chat Gpd;2;2;3;2;4;3;1;3;1;4;3;ja;nein;NA;NA;ja, direkt nachdem ich davon gehört hatte;5;privat mit anderen;von anderen gezeigt;unbestimmt;3;2;Erstellen von Texten, für die ich keine Lust zu recherchieren habe<br>Spaßtexte privat<br>Auskünfte;3;3;-1;2;4;-1;3;-1;-1;2;3;3;2;3;4;3;4;4;3;3;4;4;weiblich;1982;41;(Fach-) Abitur;2;1;2;1;2;1;Gastronomie, Freizeit, Kultur;2;NA;2023-04-22T09:03:13Z;439;TRUE
297;4 Nutzung ChatGPT;6;6;60;Ich probiere neue Angebote eher schnell aus.;4;2;4;4;4;eher profitieren;ja;4;3;4;3;Chat GPT;2;2;3;2;2;2;1;2;2;2;2;ja;nein;NA;NA;ja, aber erst später;2;allein;selbst ausprobiert;eher überzeugend;3;4;Texte schreiben;2;2;4;3;4;2;3;4;3;3;3;3;2;2;4;3;3;4;4;3;4;3;männlich;1997;26;(Fach-) Abitur;1;1;1;1;2;1;Handel, Finanzen, Verwaltung;2;NA;2023-04-22T11:13:33Z;343;TRUE
304;4 Nutzung ChatGPT;3;3;300;Ich probiere neue Angebote sofort aus.;4;4;4;4;4;eher profitieren;ja;1;2;3;2;NA;3;3;3;3;3;3;3;3;3;3;3;ja;ja;2;von Personen im Arbeitskontext;ja, direkt nachdem ich davon gehört hatte;4;privat mit anderen;selbst ausprobiert;[NA] nicht beantwortet;4;3;NA;2;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;4;4;3;weiblich;1991;32;(Fach-) Abitur;1;1;2;1;1;1;IT, Informatik, EDV;1;NA;2023-04-22T15:47:32Z;171;TRUE
308;4 Nutzung ChatGPT;3;3;100;Ich probiere neue Angebote eher schnell aus.;5;2;3;2;3;eher profitieren;ja;2;2;3;2;ChatGPT;2;2;4;1;2;2;1;2;2;3;3;ja;ja;15;aus Internetforen und Plattformen;ja, aber erst später;12;allein;selbst ausprobiert;eher überzeugend;4;1;Ich teste verschiedene Funktionalitäten, spiele viel herum, lasse die KI Rätsel lösen oder kreative Aufgaben lösen. Außerdem lasse ich mir bei diversen Fragestellungen helfen von z.B. Urlaubsplanung, Trainingstipps, Sprachen lernen etc.;3;1;-1;3;5;-1;2;2;-1;1;4;3;3;3;4;4;4;4;4;4;5;4;weiblich;1995;28;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;1;NA;2023-04-22T19:30:08Z;395;TRUE
309;4 Nutzung ChatGPT;4;4;45;Ich probiere neue Angebote eher schnell aus.;5;1;3;3;4;eher profitieren;ja;4;3;4;3;"ChatGPT; Bing KI";3;2;4;1;3;3;1;3;1;3;3;ja;ja;20;aus Internetforen und Plattformen;ja, aber erst später;10;allein;selbst ausprobiert;eher überzeugend;3;3;Ich lasse die KI kreative Aufgaben übernehmen, wie zB Ideen sammeln für eine Pro/Contra Liste;3;1;3;4;4;4;2;2;3;2;4;2;1;1;4;4;5;4;4;3;4;3;männlich;2004;19;(Fach-) Abitur;1;2;1;1;1;1;Ich befinde mich noch in einer Ausbildung.;5;NA;2023-04-22T19:40:00Z;447;TRUE
324;4 Nutzung ChatGPT;2;2;50;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;3;4;4;4;eher profitieren;ja;3;3;3;3;GPT;1;1;4;2;3;2;2;2;2;2;2;ja;ja;8;von Personen im Arbeitskontext;ja, direkt nachdem ich davon gehört hatte;6;privat mit anderen;von anderen gezeigt;eher überzeugend;3;3;Aufgaben lösen lassen bzw Aufgaben geben lassen;3;3;4;5;5;5;-1;4;-1;-1;3;5;4;4;4;-1;4;4;4;4;5;4;männlich;1960;63;(Fach-) Abitur;1;1;1;1;2;1;Schule, Bildung, Wissenschaft;1;NA;2023-04-23T17:14:49Z;339;TRUE
325;4 Nutzung ChatGPT;4;4;60;Ich probiere neue Angebote eher schnell aus.;4;3;3;4;5;eher profitieren;ja;3;2;5;4;"Chatgpt; Siri; Alexa; Google";1;1;3;1;3;2;1;-1;1;3;4;ja;ja;2;aus Massenmedien (online oder offline);ja, aber erst später;1;allein;selbst ausprobiert;eher enttäuschend;2;1;k.a.;2;1;4;1;4;3;4;4;3;3;1;2;2;3;3;2;2;3;2;3;3;3;männlich;1960;63;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;2;NA;2023-04-23T18:08:05Z;922;TRUE
338;4 Nutzung ChatGPT;6;6;45;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;3;3;5;4;eher profitieren;ja;5;2;3;2;ChatGPT;2;1;3;1;4;2;1;1;3;3;3;ja;ja;10;aus Massenmedien (online oder offline);ja, aber erst später;5;allein;selbst ausprobiert;eher überzeugend;3;3;Konzepte und Texte erstellen lassen, Ideen sammeln;3;3;4;-1;5;4;3;-1;-1;2;2;2;1;3;4;3;4;4;4;4;5;5;männlich;1997;26;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;2;NA;2023-04-24T11:18:11Z;477;TRUE
339;4 Nutzung ChatGPT;4;4;90;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;2;3;2;2;eher profitieren;ja;1;1;2;3;ChatGPT;2;2;3;2;4;3;3;3;2;4;4;ja;ja;10;aus Internetforen und Plattformen;ja, direkt nachdem ich davon gehört hatte;9;allein;selbst ausprobiert;eher enttäuschend;2;2;Im Studium, in Richtung Tutor;3;3;3;4;4;2;5;3;-1;4;4;2;1;2;2;3;3;3;5;3;2;3;männlich;2001;22;(Fach-) Abitur;1;2;1;1;1;1;Ich befinde mich noch in einer Ausbildung.;2;NA;2023-04-24T11:49:29Z;500;TRUE
343;1 Unkenntnis KI;5;4;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;5;1;3;3;3;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1958;65;10. Klasse;1;1;1;1;2;1;In einem anderen Bereich.;2;NA;2023-04-24T14:22:09Z;184;TRUE
345;2 Unkenntnis ChatGPT;2;2;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;4;4;4;4;eher profitieren;ja;4;3;3;4;KA;2;2;2;2;2;2;2;2;2;2;2;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1959;64;9. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;2;Nein;2023-04-24T14:22:59Z;323;TRUE
347;3 Nichtnutzung ChatGPT;4;0;90;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.;4;1;1;3;3;sicher nicht profitieren;ja;5;5;5;4;Chat gpt;2;2;2;2;2;2;2;2;2;1;4;ja;ja;6;andere Quelle;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;3;4;4;4;-1;-1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1954;69;(Fach-) Abitur;1;1;1;1;2;1;Hausarbeit;2;Kriminelle Nutzung erforschen.;2023-04-24T14:47:26Z;444;TRUE
348;1 Unkenntnis KI;3;0;100;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;1;1;1;2;3;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1956;67;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;2;Nein;2023-04-24T14:47:43Z;279;TRUE
349;1 Unkenntnis KI;4;4;120;Ich probiere neue Angebote eher schnell aus.;4;4;3;4;3;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1955;68;10. Klasse;1;1;2;1;1;1;IT, Informatik, EDV;1;NA;2023-04-24T14:47:52Z;150;TRUE
351;3 Nichtnutzung ChatGPT;2;0;120;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;2;3;2;5;eher profitieren;ja;2;2;5;4;Chat gbt;2;2;2;1;4;1;1;3;4;1;3;ja;ja;5;aus Internetforen und Plattformen;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1;-1;4;4;4;3;4;4;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;2001;22;(Fach-) Abitur;1;2;1;1;1;1;Soziales, Pflege, Medizin;4;Nein;2023-04-24T14:48:17Z;420;TRUE
352;1 Unkenntnis KI;2;2;240;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;2;1;3;2;2;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1954;69;9. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;2;nein;2023-04-24T14:48:28Z;169;TRUE
353;3 Nichtnutzung ChatGPT;9;9;60;Ich probiere neue Angebote eher schnell aus.;5;1;4;2;3;eher nicht profitieren;ja;3;3;5;3;"chatgp; alexa";2;2;2;2;4;2;2;2;3;4;2;ja;nein;NA;NA;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;4;3;5;3;4;5;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1991;32;10. Klasse;1;2;1;1;1;1;Hausarbeit;1;NA;2023-04-24T14:48:43Z;557;TRUE
354;4 Nutzung ChatGPT;4;2;60;Ich probiere neue Angebote eher schnell aus.;4;2;3;2;4;sicher profitieren;ja;3;3;2;2;ChatGPT;1;1;4;1;4;2;2;2;3;3;3;ja;ja;2;aus Massenmedien (online oder offline);ja, aber erst später;4;allein;selbst ausprobiert;eher überzeugend;2;4;Grundlagen erfragen, um Texte darauf aufzubauen;3;3;3;4;4;3;2;2;2;3;4;3;1;2;4;4;4;4;4;4;4;4;weiblich;1980;43;(Fach-) Abitur;1;1;2;1;1;1;In einem anderen Bereich.;3;NA;2023-04-24T14:48:47Z;331;TRUE
355;1 Unkenntnis KI;3;3;120;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;3;3;3;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1970;53;(Fach-) Abitur;2;1;2;2;1;1;In einem anderen Bereich.;3;NA;2023-04-24T14:48:50Z;184;TRUE
356;1 Unkenntnis KI;2;0;120;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;2;1;2;3;2;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1965;58;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;2;NA;2023-04-24T14:48:56Z;131;TRUE
357;1 Unkenntnis KI;2;2;90;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;4;4;4;4;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1964;59;(Fach-) Abitur;2;1;2;1;2;1;Hausarbeit;3;NA;2023-04-24T14:49:08Z;104;TRUE
358;1 Unkenntnis KI;5;2;120;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;5;1;1;1;2;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1971;52;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;2;NA;2023-04-24T14:49:09Z;191;TRUE
360;1 Unkenntnis KI;3;3;80;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;4;3;3;4;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1965;58;9. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;2;NA;2023-04-24T14:49:30Z;274;TRUE
361;1 Unkenntnis KI;3;0;10;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;2;2;3;3;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1957;66;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;1;NA;2023-04-24T14:49:33Z;212;TRUE
362;1 Unkenntnis KI;3;3;200;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;1;2;4;4;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1976;47;10. Klasse;1;1;2;1;1;1;Hausarbeit;4;NA;2023-04-24T14:49:38Z;113;TRUE
363;1 Unkenntnis KI;3;3;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;3;3;4;4;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1956;67;(Fach-) Abitur;1;1;2;1;1;1;In einem anderen Bereich.;1;NA;2023-04-24T14:49:51Z;277;TRUE
